1,3,2,"[(364, 119, 432, 206), (256, 49, 284, 84), (410, 202, 486, 301)]","[(364, 119, 432, 206), (410, 202, 486, 301)]"
2,2,2,"[(364, 120, 431, 207), (256, 50, 284, 85)]","[(364, 120, 431, 207), (256, 50, 284, 85)]"
3,2,2,"[(363, 126, 430, 211), (256, 51, 284, 86)]","[(363, 126, 430, 211), (256, 51, 284, 86)]"
4,2,2,"[(256, 52, 286, 89), (365, 130, 431, 216)]","[(256, 52, 286, 89), (365, 130, 431, 216)]"
5,2,2,"[(362, 135, 426, 215), (256, 51, 284, 88)]","[(362, 135, 426, 215), (256, 51, 284, 88)]"
6,3,1,"[(254, 52, 283, 88), (692, 15, 718, 46), (470, 0, 498, 28)]","[(254, 52, 283, 88)]"
7,1,0,"[(255, 52, 284, 88)]",[]
8,1,0,"[(253, 53, 283, 88)]",[]
9,4,2,"[(253, 53, 283, 89), (509, 148, 551, 202), (470, 0, 497, 32), (690, 13, 718, 47)]","[(253, 53, 283, 89), (509, 148, 551, 202)]"
10,3,2,"[(471, 0, 497, 33), (511, 150, 553, 203), (253, 54, 282, 90)]","[(471, 0, 497, 33), (511, 150, 553, 203)]"
11,3,2,"[(253, 54, 282, 90), (511, 149, 553, 203), (470, 0, 497, 34)]","[(253, 54, 282, 90), (511, 149, 553, 203)]"
12,4,3,"[(511, 148, 551, 201), (252, 56, 281, 91), (471, 0, 497, 34), (188, 196, 246, 262)]","[(511, 148, 551, 201), (252, 56, 281, 91), (471, 0, 497, 34)]"
13,3,2,"[(251, 55, 281, 93), (470, 0, 498, 37), (510, 148, 551, 202)]","[(251, 55, 281, 93), (470, 0, 498, 37)]"
14,2,1,"[(251, 57, 281, 94), (471, 1, 498, 35)]","[(251, 57, 281, 94)]"
15,3,2,"[(251, 57, 281, 96), (472, 2, 498, 36), (510, 153, 551, 207)]","[(251, 57, 281, 96), (472, 2, 498, 36)]"
16,4,3,"[(250, 59, 280, 95), (511, 156, 552, 209), (472, 2, 499, 37), (179, 200, 238, 267)]","[(250, 59, 280, 95), (511, 156, 552, 209), (472, 2, 499, 37)]"
17,2,1,"[(249, 58, 279, 96), (472, 3, 499, 37)]","[(249, 58, 279, 96)]"
18,3,2,"[(248, 60, 278, 96), (509, 160, 551, 214), (473, 3, 499, 37)]","[(248, 60, 278, 96), (509, 160, 551, 214)]"
19,4,3,"[(247, 60, 276, 97), (509, 162, 551, 216), (473, 3, 499, 37), (331, 151, 398, 237)]","[(247, 60, 276, 97), (509, 162, 551, 216), (473, 3, 499, 37)]"
20,4,3,"[(324, 150, 396, 239), (246, 60, 275, 97), (474, 3, 500, 37), (509, 164, 551, 218)]","[(324, 150, 396, 239), (246, 60, 275, 97), (474, 3, 500, 37)]"
21,4,3,"[(245, 60, 274, 95), (317, 145, 391, 239), (473, 3, 500, 37), (509, 167, 550, 221)]","[(245, 60, 274, 95), (317, 145, 391, 239), (473, 3, 500, 37)]"
22,5,4,"[(171, 210, 230, 279), (316, 145, 387, 233), (474, 4, 500, 37), (244, 60, 274, 97), (510, 170, 552, 223)]","[(171, 210, 230, 279), (316, 145, 387, 233), (474, 4, 500, 37), (244, 60, 274, 97)]"
23,4,3,"[(316, 143, 386, 231), (170, 212, 224, 277), (244, 59, 274, 97), (474, 2, 500, 38)]","[(316, 143, 386, 231), (170, 212, 224, 277), (244, 59, 274, 97)]"
24,3,2,"[(315, 142, 383, 228), (243, 59, 273, 97), (473, 1, 501, 37)]","[(315, 142, 383, 228), (243, 59, 273, 97)]"
25,3,2,"[(303, 138, 379, 235), (242, 59, 272, 96), (475, 2, 501, 35)]","[(303, 138, 379, 235), (242, 59, 272, 96)]"
26,3,2,"[(305, 142, 372, 230), (241, 58, 271, 96), (475, 1, 501, 35)]","[(305, 142, 372, 230), (241, 58, 271, 96)]"
27,3,2,"[(475, 1, 501, 35), (295, 139, 365, 233), (241, 58, 271, 94)]","[(475, 1, 501, 35), (295, 139, 365, 233)]"
28,4,3,"[(474, 0, 502, 36), (291, 137, 364, 235), (240, 58, 270, 93), (511, 168, 553, 222)]","[(474, 0, 502, 36), (291, 137, 364, 235), (240, 58, 270, 93)]"
29,4,3,"[(475, 0, 501, 35), (288, 140, 361, 235), (510, 169, 555, 223), (241, 57, 271, 93)]","[(475, 0, 501, 35), (288, 140, 361, 235), (510, 169, 555, 223)]"
30,4,3,"[(475, 0, 502, 35), (282, 139, 353, 237), (512, 165, 554, 220), (241, 57, 270, 93)]","[(475, 0, 502, 35), (282, 139, 353, 237), (512, 165, 554, 220)]"
31,4,3,"[(475, 0, 502, 36), (512, 164, 555, 220), (277, 147, 347, 238), (241, 56, 270, 92)]","[(475, 0, 502, 36), (512, 164, 555, 220), (277, 147, 347, 238)]"
32,3,2,"[(273, 152, 342, 242), (475, 0, 502, 36), (241, 57, 271, 93)]","[(273, 152, 342, 242), (475, 0, 502, 36)]"
33,3,2,"[(266, 151, 338, 243), (475, 0, 502, 36), (242, 56, 271, 93)]","[(266, 151, 338, 243), (475, 0, 502, 36)]"
34,4,3,"[(475, 0, 502, 36), (262, 148, 335, 247), (242, 56, 273, 93), (511, 159, 554, 215)]","[(475, 0, 502, 36), (262, 148, 335, 247), (242, 56, 273, 93)]"
35,2,1,"[(475, 0, 502, 35), (510, 156, 554, 212)]","[(475, 0, 502, 35)]"
36,4,2,"[(475, 1, 502, 37), (250, 159, 325, 254), (243, 57, 273, 94), (510, 155, 553, 210)]","[(475, 1, 502, 37), (243, 57, 273, 94)]"
37,4,2,"[(243, 57, 273, 94), (244, 158, 323, 255), (475, 1, 502, 38), (511, 155, 554, 211)]","[(244, 158, 323, 255), (475, 1, 502, 38)]"
38,3,2,"[(510, 154, 553, 210), (475, 3, 501, 37), (243, 57, 273, 94)]","[(510, 154, 553, 210), (475, 3, 501, 37)]"
39,4,2,"[(243, 57, 275, 96), (236, 168, 305, 258), (509, 154, 552, 211), (475, 3, 501, 39)]","[(236, 168, 305, 258), (509, 154, 552, 211)]"
40,2,1,"[(244, 58, 275, 95), (507, 152, 552, 211)]","[(507, 152, 552, 211)]"
41,2,1,"[(475, 6, 503, 43), (245, 59, 275, 95)]","[(475, 6, 503, 43)]"
42,2,1,"[(475, 7, 502, 43), (245, 60, 274, 96)]","[(475, 7, 502, 43)]"
43,3,2,"[(244, 60, 276, 98), (475, 7, 502, 45), (506, 154, 551, 212)]","[(244, 60, 276, 98), (475, 7, 502, 45)]"
44,4,3,"[(27, 261, 112, 370), (474, 9, 501, 43), (506, 155, 550, 212), (245, 61, 275, 97)]","[(27, 261, 112, 370), (474, 9, 501, 43), (506, 155, 550, 212)]"
45,2,1,"[(246, 61, 277, 98), (474, 8, 502, 45)]","[(246, 61, 277, 98)]"
46,3,2,"[(474, 9, 502, 46), (246, 60, 276, 99), (504, 155, 548, 212)]","[(474, 9, 502, 46), (246, 60, 276, 99)]"
47,4,3,"[(182, 172, 250, 261), (474, 10, 501, 46), (504, 158, 548, 215), (247, 60, 279, 100)]","[(182, 172, 250, 261), (474, 10, 501, 46), (504, 158, 548, 215)]"
48,3,2,"[(174, 168, 245, 263), (474, 10, 501, 46), (248, 63, 278, 99)]","[(174, 168, 245, 263), (474, 10, 501, 46)]"
49,3,2,"[(248, 63, 280, 102), (503, 163, 548, 221), (473, 10, 501, 45)]","[(248, 63, 280, 102), (503, 163, 548, 221)]"
